N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"68,600","1,700",+2.54%,100,"4,095,271","5,969,783",53.07,"13,653,375",13.09,17.07,
2,LG에너지솔루션,"377,500","8,000",-2.08%,500,"883,350","234,000",4.51,"345,044",64.04,5.75,
3,SK하이닉스,"120,300","4,000",+3.44%,"5,000","875,787","728,002",51.96,"2,686,640",-10.69,3.56,
4,삼성바이오로직스,"703,000","6,000",-0.85%,"2,500","500,353","71,174",10.26,"37,700",60.60,11.42,
5,삼성전자우,"55,600","2,000",+3.73%,100,"457,525","822,887",72.43,"1,366,282",10.61,N/A,
6,현대차,"170,300",600,+0.35%,"5,000","360,238","211,532",32.97,"446,486",4.93,9.36,
7,POSCO홀딩스,"402,500","9,000",-2.19%,"5,000","340,399","84,571",27.33,"873,999",27.13,6.11,
8,기아,"77,400",500,+0.65%,"5,000","311,182","402,044",38.53,"747,974",4.22,14.57,
9,NAVER,"187,700",300,+0.16%,100,"307,920","164,049",46.72,"507,173",42.27,3.29,
10,LG화학,"431,000","9,000",-2.05%,"5,000","304,253","70,592",43.89,"351,160",22.54,6.95,
11,삼성SDI,"425,500",0,0.00%,"5,000","292,593","68,765",46.60,"386,287",14.23,12.52,
12,셀트리온,"149,400",100,-0.07%,"1,000","218,726","146,403",19.62,"466,505",39.84,13.35,
13,KB금융,"51,300",200,-0.39%,"5,000","207,001","403,511",72.83,"829,213",4.51,9.17,
14,현대모비스,"212,500","4,000",+1.92%,"5,000","200,356","94,285",38.19,"163,705",6.75,6.80,
15,삼성물산,"106,300",400,-0.37%,100,"197,284","185,592",18.86,"226,936",8.98,7.16,
16,포스코퓨처엠,"233,500","3,000",-1.27%,500,"180,877","77,463",6.94,"957,350",146.86,4.87,
17,신한지주,"35,000",250,+0.72%,"5,000","180,426","515,504",59.79,"742,479",4.05,9.70,
18,카카오,"37,600",200,-0.53%,100,"167,127","444,485",25.66,"1,254,183",143.51,13.54,
19,LG전자,"100,300",600,+0.60%,"5,000","164,139","163,648",29.37,"422,957",44.22,6.61,
20,삼성생명,"72,700",400,+0.55%,500,"145,400","200,000",17.01,"194,438",6.82,5.73,
21,삼성화재,"260,000","1,500",+0.58%,500,"123,175","47,375",53.27,"65,462",7.75,9.70,
22,LG,"77,500",300,+0.39%,"5,000","121,908","157,301",36.23,"135,651",11.82,8.48,
23,SK이노베이션,"120,400","1,800",-1.47%,"5,000","121,189","100,656",21.34,"480,863",-13.54,8.49,
